Stn,Datum,Tg,qTg,Tn,qTn,Tx,qTx
72,27,22,21,14,2,43,44
78,85,100,53,19,13,37,8
4,7,35,54,84,86,31,11
9,50,43,33,47,41,20,70
20,73,87,27,49,57,59,8
34,92,16,41,82,51,91,4
71,92,25,97,39,22,53,71
11,53,67,58,91,93,66,10
81,55,14,78,20,65,77,53
59,20,72,18,41,75,4,63
63,46,13,19,55,41,9,44
6,29,99,45,59,25,4,4
52,98,24,10,30,68,39,32
10,32,16,38,98,12,0,85
95,76,67,72,54,25,77,63
1,62,76,49,60,10,36,86
11,84,7,71,13,16,13,13
17,24,12,31,59,23,1,67
71,4,29,88,61,53,8,79
24,48,49,49,19,15,47,90
47,21,46,74,49,77,93,11
57,84,20,56,6,89,84,30
90,73,56,50,62,11,90,100
82,92,70,92,63,54,35,55
49,99,86,31,21,100,91,47
45,85,78,53,85,18,29,23
70,90,100,31,3,85,64,76
97,84,55,12,43,78,50,11
0,99,57,79,8,46,9,9
60,54,13,3,25,53,93,55
45,77,0,14,31,97,47,63
10,38,12,71,67,98,57,8
8,6,69,60,25,93,65,45
86,69,1,30,78,36,90,99
34,64,78,49,93,24,28,5
71,45,79,94,75,70,19,21
94,14,73,2,0,31,21,67
40,36,45,25,68,48,15,100
98,73,45,20,98,0,96,47
81,84,85,25,100,12,41,65
35,87,77,42,71,33,39,2
1,100,52,83,13,25,40,18
12,89,86,71,97,35,96,14
22,51,70,73,73,48,89,43
21,65,12,74,95,4,22,10
92,37,34,82,49,66,99,37
77,89,38,65,57,8,2,70
78,82,7,100,46,21,100,97
84,25,53,32,20,70,32,14
35,27,18,63,40,32,72,80
23,38,20,100,8,57,69,44
44,83,10,89,47,1,80,19
92,40,34,4,67,33,62,60
69,78,15,0,27,82,25,96
56,36,10,1,14,52,67,68
27,83,24,1,71,11,63,73
30,34,72,60,100,99,75,83
84,46,90,68,40,47,66,78
30,14,46,77,95,64,29,81
15,10,46,68,12,9,43,40
81,58,67,22,31,98,25,56
69,23,48,45,18,0,86,8
79,57,85,38,8,10,51,43
35,67,64,98,58,52,68,46
68,47,28,82,7,63,25,33
